--------------------------------------------------------------------------------------------------------------------------
Hall of Fame with 200 individuals
	Individual 0: 
		Gene: [0.1323895708931626, 1.5982604513191043, 0.11680658605606156, 5.188645633384034e-05, 0.20794380572280527, 0.4220599404732415]
		Fitness: 0.020020842706056363 
	Individual 1: 
		Gene: [0.12856881993874703, 1.545089220238343, 0.1173785921041411, 1e-05, 0.20567309001813833, 0.4186746026889346]
		Fitness: 0.02012806720391236 
	Individual 2: 
		Gene: [0.1284633381609043, 1.5364381299408458, 0.11618607127877133, 1e-05, 0.1963344291049758, 0.40859437564768597]
		Fitness: 0.0203094345462958 
	Individual 3: 
		Gene: [0.12566972615472177, 1.5109276247559225, 0.11355295363106364, 1e-05, 0.19712678212628662, 0.4151371447507855]
		Fitness: 0.020318573392965 
	Individual 4: 
		Gene: [0.12538151892396032, 1.4946534188773761, 0.12260094818613053, 1e-05, 0.19239869224301068, 0.386864352732536]
		Fitness: 0.020338125497739834 
	Individual 5: 
		Gene: [0.13090887002866608, 1.5957093323279938, 0.1442163250911573, 0.008379456598886717, 0.19231568533041962, 0.3386521475463496]
		Fitness: 0.020384630025227002 
	Individual 6: 
		Gene: [0.1279603725082831, 1.546849124986786, 0.11688452399997201, 0.011318614068702215, 0.1995681054357718, 0.41532716107516654]
		Fitness: 0.02042327551424128 
	Individual 7: 
		Gene: [0.12653154939328556, 1.5406402937766872, 0.1183927822395841, 0.0034726747662109526, 0.1945153771059852, 0.39472165370226225]
		Fitness: 0.020449097361289914 
	Individual 8: 
		Gene: [0.12678898773058947, 1.5179915190611435, 0.12386757848823979, 1e-05, 0.1925324842870504, 0.3824723979507152]
		Fitness: 0.02048962328096482 
	Individual 9: 
		Gene: [0.12851393427848312, 1.5584178058635467, 0.11899190977565177, 0.0013060736049650043, 0.20065527293371693, 0.4027134776414608]
		Fitness: 0.0204971687808162 
	Individual 10: 
		Gene: [0.12553459706205666, 1.5203317676190766, 0.11161025007132575, 0.002721927477567292, 0.19615031588849693, 0.41874814129181065]
		Fitness: 0.02051162084459751 
	Individual 11: 
		Gene: [0.12561934418343007, 1.5114038086530437, 0.12113010363658576, 0.003502127955719449, 0.19273643441770894, 0.3898282634064299]
		Fitness: 0.020629918771481848 
	Individual 12: 
		Gene: [0.12449443010459059, 1.5238179689389881, 0.1077971393908693, 0.0029906084786529017, 0.19390096584153146, 0.422194776855087]
		Fitness: 0.02063257642585274 
	Individual 13: 
		Gene: [0.1253450321887629, 1.5098709997368123, 0.11255449936051075, 0.0016484492778144355, 0.1983567849513996, 0.4204854179858366]
		Fitness: 0.020649158582421334 
	Individual 14: 
		Gene: [0.1286430026029035, 1.5636179324177155, 0.13307060624682837, 1.94999e-05, 0.18961640889391493, 0.3523396448116686]
		Fitness: 0.02066479401183874 
	Individual 15: 
		Gene: [0.12575083335268375, 1.5283569689135723, 0.12063752788253684, 0.019908558823769518, 0.18406046117223773, 0.38478831549830184]
		Fitness: 0.020743790209045654 
	Individual 16: 
		Gene: [0.12592085197201827, 1.4952268194668188, 0.11819270875164586, 0.01195609560101674, 0.18562388129619403, 0.3973599168775282]
		Fitness: 0.020744594826560936 
	Individual 17: 
		Gene: [0.13245348349069572, 1.6241634937108538, 0.11314146248088683, 0.039663011517300534, 0.19336350666889268, 0.4312640121956919]
		Fitness: 0.020780313369208284 
	Individual 18: 
		Gene: [0.12954403617932833, 1.5642041130533746, 0.10868573132350226, 0.015639610143905486, 0.196857081248628, 0.4403784926594]
		Fitness: 0.020788179754869962 
	Individual 19: 
		Gene: [0.12627193523505303, 1.524163850401343, 0.11072845763748589, 1e-05, 0.19792038475034585, 0.42299904324691556]
		Fitness: 0.02079827445988458 
	Individual 20: 
		Gene: [0.1267373993449781, 1.5036937325240394, 0.1249260008088602, 0.026685790999698058, 0.17755791572477223, 0.3782472596954985]
		Fitness: 0.020810755344652432 
	Individual 21: 
		Gene: [0.12721031639319763, 1.5296640731173317, 0.11059444877595867, 0.0071649130338303476, 0.19735018887910435, 0.4305231996507091]
		Fitness: 0.02082388203206037 
	Individual 22: 
		Gene: [0.13635305232615955, 1.6628856216581358, 0.10497648177147549, 0.018974369960570343, 0.2108287479908835, 0.47500791963440436]
		Fitness: 0.020833723297087048 
	Individual 23: 
		Gene: [0.12601599105220762, 1.5210284255245883, 0.118372445379782, 1e-05, 0.19854650398557633, 0.402450405209344]
		Fitness: 0.020835098381532524 
	Individual 24: 
		Gene: [0.1305854641437231, 1.5705311956403019, 0.10784422717126928, 0.016906136633525835, 0.21209761061108778, 0.47141402451023207]
		Fitness: 0.02084239117043779 
	Individual 25: 
		Gene: [0.130088023635268, 1.5717930295911127, 0.1338439631022914, 0.006787971131888054, 0.1948209173816572, 0.3634527513492049]
		Fitness: 0.02087432711613635 
	Individual 26: 
